,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,ACOMPANHAMENTO DO NPS 2026,,,,,,,,PILOTO,
,,,,,,,,,,,,c
,,,,,,,,,,,Matheus Lima,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,MÊS,NPS GERAL,,,
,,,,,,,,,,,,
,,,,,,,,JANEIRO,,,,
,,,,,,,,FEVEREIRO,,,,
,,,,,,,,MARÇO,"4,31",,,
,,,,,,,,ABRIL,,,,
,,,,,,,,MAIO,,,,
,,,,,,,,JUNHO,,,,
,,,,,,,,JULHO,,,,
,,,,,,,,AGOSTO,,,,
,,,,,,,,SETEMBRO,,,,
,,,,,,,,OUTUBRO,,,,
,,,,,,,,NOVEMBRO,,,,
,,,,,,,,DEZEMBRO,,,,
,,,,,,,,,,,,
,,,,,,CRITÉRIO,,,,,,
,,,,,MÊS,COMUNICAÇÃO,SUPORTE EM RELAÇÃO A EXECUÇÃO,LIDERANÇA,RELACIONAMENTO COM A EQUIPE,RESOLUTIVIDADE,,
,,,,,Janeiro,,,,,,,
,,,,,Fevereiro,,,,,,,
,,,,,Março,"4,09","4,45","4,45","4,36","4,18",,
,,,,,Abril,,,,,,,
,,,,,Maio,,,,,,,
,,,,,Junho,,,,,,,
,,,,,Julho,,,,,,,
,,,,,Agosto,,,,,,,
,,,,,Setembro,,,,,,,
,,,,,Outubro,,,,,,,
,,,,,Novembro,,,,,,,
,,,,,Dezembro,,,,,,,
